"","Freq","Genes"
"NXNL2",1,"NXNL2"
"NXPH4",1,"NXPH4"
"NXT1",1,"NXT1"
"NXT2",1,"NXT2"
"OAF",1,"OAF"
"OAT",1,"OAT"
"OAZ1",1,"OAZ1"
"OCEL1",1,"OCEL1"
"OCIAD2",1,"OCIAD2"
"OCM",1,"OCM"
"ODAM",1,"ODAM"
"ODC1",1,"ODC1"
"ODF3L1",1,"ODF3L1"
"ODF4",1,"ODF4"
"OFCC1",1,"OFCC1"
"OGFOD3",1,"OGFOD3"
"OGFR",1,"OGFR"
"OGFRL1",1,"OGFRL1"
"OGN",1,"OGN"
"OIP5",1,"OIP5"
"OMA1",1,"OMA1"
"OMD",1,"OMD"
"OMP",1,"OMP"
"ONECUT1",1,"ONECUT1"
"ONECUT2",1,"ONECUT2"
"OOEP",1,"OOEP"
"OPA3",1,"OPA3"
"OR10AD1",1,"OR10AD1"
"OR10H3",1,"OR10H3"
"OR1B1",1,"OR1B1"
"OR1D2",1,"OR1D2"
"OR1E2",1,"OR1E2"
"OR1G1",1,"OR1G1"
"OR1I1",1,"OR1I1"
"OR1J1",1,"OR1J1"
"OR1N2",1,"OR1N2"
"OR2A1",1,"OR2A1"
"OR2A4",1,"OR2A4"
"OR2A42",1,"OR2A42"
"OR2AT4",1,"OR2AT4"
"OR2B2",1,"OR2B2"
"OR2S2",1,"OR2S2"
"OR2T35",1,"OR2T35"
"OR3A3",1,"OR3A3"
"OR4D1",1,"OR4D1"
"OR4F17",1,"OR4F17"
"OR4F21",1,"OR4F21"
"OR4F6",1,"OR4F6"
"OR4N4",1,"OR4N4"
"OR52H1",1,"OR52H1"
"OR5AU1",1,"OR5AU1"
"OR5C1",1,"OR5C1"
"OR5P3",1,"OR5P3"
"OR6C3",1,"OR6C3"
"OR6C4",1,"OR6C4"
"OR6C6",1,"OR6C6"
"OR6C65",1,"OR6C65"
"OR6C70",1,"OR6C70"
"OR6P1",1,"OR6P1"
"OR6S1",1,"OR6S1"
"OR9I1",1,"OR9I1"
"ORAI3",1,"ORAI3"
"ORC3",1,"ORC3"
"ORC6",1,"ORC6"
"ORM1",1,"ORM1"
"ORMDL2",1,"ORMDL2"
"OS9",1,"OS9"
"OSBP2",1,"OSBP2"
"OSBPL2",1,"OSBPL2"
"OSBPL7",1,"OSBPL7"
"OSCAR",1,"OSCAR"
"OSGEP",1,"OSGEP"
"OSGEPL1",1,"OSGEPL1"
"OSGIN2",1,"OSGIN2"
"OSTN",1,"OSTN"
"OTOS",1,"OTOS"
"OTUB1",1,"OTUB1"
"OTX1",1,"OTX1"
"OVOL2",1,"OVOL2"
"OXA1L",1,"OXA1L"
"OXNAD1",1,"OXNAD1"
"OXSM",1,"OXSM"
"P2RY13",1,"P2RY13"
"P2RY14",1,"P2RY14"
"P2RY4",1,"P2RY4"
"P2RY6",1,"P2RY6"
"P4HTM",1,"P4HTM"
"PAAF1",1,"PAAF1"
"PABPC1",1,"PABPC1"
"PABPC1L",1,"PABPC1L"
"PACRGL",1,"PACRGL"
"PACS1",1,"PACS1"
"PADI6",1,"PADI6"
"PAG1",1,"PAG1"
"PAGE2B",1,"PAGE2B"
"PAGE4",1,"PAGE4"
"PAGR1",1,"PAGR1"
"PAICS",1,"PAICS"
"PAIP2",1,"PAIP2"
"PAIP2B",1,"PAIP2B"
"PAK2",1,"PAK2"
"PAK6",1,"PAK6"
"PALMD",1,"PALMD"
"PAN2",1,"PAN2"
"PAN3",1,"PAN3"
"PANK1",1,"PANK1"
"PANX1",1,"PANX1"
"PAPD5",1,"PAPD5"
"PAQR6",1,"PAQR6"
"PAQR7",1,"PAQR7"
"PARD6A",1,"PARD6A"
"PARD6B",1,"PARD6B"
"PARD6G",1,"PARD6G"
"PARL",1,"PARL"
"PARP11",1,"PARP11"
"PARP16",1,"PARP16"
"PARP6",1,"PARP6"
"PATZ1",1,"PATZ1"
"PAWR",1,"PAWR"
"PAX3",1,"PAX3"
"PBDC1",1,"PBDC1"
"PBK",1,"PBK"
"PBOV1",1,"PBOV1"
"PCED1B",1,"PCED1B"
"PCGF1",1,"PCGF1"
"PCGF5",1,"PCGF5"
"PCGF6",1,"PCGF6"
"PCID2",1,"PCID2"
"PCSK9",1,"PCSK9"
"PCTP",1,"PCTP"
"PCYT1B",1,"PCYT1B"
"PDCD1LG2",1,"PDCD1LG2"
"PDCD2L",1,"PDCD2L"
"PDCD6IPP2",1,"PDCD6IPP2"
"PDCD7",1,"PDCD7"
"PDCL3",1,"PDCL3"
"PDDC1",1,"PDDC1"
"PDE4A",1,"PDE4A"
"PDE4C",1,"PDE4C"
"PDE7B",1,"PDE7B"
"PDE8A",1,"PDE8A"
"PDGFA",1,"PDGFA"
"PDHX",1,"PDHX"
"PDIA2",1,"PDIA2"
"PDK3",1,"PDK3"
"PDK4",1,"PDK4"
"PDLIM2",1,"PDLIM2"
"PDLIM7",1,"PDLIM7"
"PDP1",1,"PDP1"
"PDPR",1,"PDPR"
"PDXK",1,"PDXK"
"PDZD7",1,"PDZD7"
"PEBP1",1,"PEBP1"
"PECR",1,"PECR"
"PENK",1,"PENK"
"PEPD",1,"PEPD"
"PEX10",1,"PEX10"
"PEX11A",1,"PEX11A"
"PEX13",1,"PEX13"
"PEX19",1,"PEX19"
"PEX3",1,"PEX3"
"PF4V1",1,"PF4V1"
"PFDN2",1,"PFDN2"
"PFKFB2",1,"PFKFB2"
"PGA3",1,"PGA3"
"PGBD5",1,"PGBD5"
"PGD",1,"PGD"
"PGF",1,"PGF"
"PGGT1B",1,"PGGT1B"
"PGM1",1,"PGM1"
"PGM3",1,"PGM3"
"PGPEP1L",1,"PGPEP1L"
"PGRMC2",1,"PGRMC2"
"PGS1",1,"PGS1"
"PHACTR2",1,"PHACTR2"
"PHACTR4",1,"PHACTR4"
"PHAX",1,"PHAX"
"PHB",1,"PHB"
"PHC3",1,"PHC3"
"PHF13",1,"PHF13"
"PHF6",1,"PHF6"
"PHF7",1,"PHF7"
"PHOX2A",1,"PHOX2A"
"PHPT1",1,"PHPT1"
"PHYH",1,"PHYH"
"PHYKPL",1,"PHYKPL"
"PI4K2A",1,"PI4K2A"
"PICALM",1,"PICALM"
"PIGF",1,"PIGF"
"PIGL",1,"PIGL"
"PIGM",1,"PIGM"
"PIGP",1,"PIGP"
"PIGU",1,"PIGU"
"PIGV",1,"PIGV"
"PIGX",1,"PIGX"
"PIGZ",1,"PIGZ"
"PIH1D1",1,"PIH1D1"
"PILRA",1,"PILRA"
"PIP4K2B",1,"PIP4K2B"
"PIP5K1A",1,"PIP5K1A"
"PIPOX",1,"PIPOX"
"PIRT",1,"PIRT"
"PITHD1",1,"PITHD1"
"PITPNB",1,"PITPNB"
"PITPNM1",1,"PITPNM1"
"PITX3",1,"PITX3"
"PJA2",1,"PJA2"
"PKIA",1,"PKIA"
"PKIB",1,"PKIB"
"PKMYT1",1,"PKMYT1"
"PLA2G2D",1,"PLA2G2D"
"PLA2G2E",1,"PLA2G2E"
"PLA2G2F",1,"PLA2G2F"
"PLA2G5",1,"PLA2G5"
"PLAC1",1,"PLAC1"
"PLAC8L1",1,"PLAC8L1"
"PLAU",1,"PLAU"
"PLAUR",1,"PLAUR"
"PLCD3",1,"PLCD3"
"PLCXD2",1,"PLCXD2"
"PLD6",1,"PLD6"
"PLEKHA2",1,"PLEKHA2"
"PLEKHA4",1,"PLEKHA4"
"PLEKHF2",1,"PLEKHF2"
"PLEKHG6",1,"PLEKHG6"
"PLEKHH1",1,"PLEKHH1"
"PLEKHH3",1,"PLEKHH3"
"PLEKHN1",1,"PLEKHN1"
"PLEKHO2",1,"PLEKHO2"
"PLGRKT",1,"PLGRKT"
"PLIN2",1,"PLIN2"
"PLIN3",1,"PLIN3"
"PLK3",1,"PLK3"
"PLRG1",1,"PLRG1"
"PLSCR1",1,"PLSCR1"
"PMF1",1,"PMF1"
"PMPCA",1,"PMPCA"
"PMVK",1,"PMVK"
"PNCK",1,"PNCK"
"PNKP",1,"PNKP"
"PNMA3",1,"PNMA3"
"PNO1",1,"PNO1"
"PNOC",1,"PNOC"
"PNP",1,"PNP"
"PNPLA2",1,"PNPLA2"
"PNPLA4",1,"PNPLA4"
"PNRC1",1,"PNRC1"
"PODXL2",1,"PODXL2"
"POFUT1",1,"POFUT1"
"POLA2",1,"POLA2"
"POLD3",1,"POLD3"
"POLD4",1,"POLD4"
"POLE4",1,"POLE4"
"POLG2",1,"POLG2"
"POLI",1,"POLI"
"POLR1E",1,"POLR1E"
"POLR2C",1,"POLR2C"
"POLR2D",1,"POLR2D"
"POLR2E",1,"POLR2E"
"POLR2I",1,"POLR2I"
"POLR2K",1,"POLR2K"
"POLR3F",1,"POLR3F"
"POLR3K",1,"POLR3K"
"POMGNT2",1,"POMGNT2"
"POMT1",1,"POMT1"
"PON2",1,"PON2"
"POP7",1,"POP7"
"POPDC3",1,"POPDC3"
"POR",1,"POR"
"POU2F3",1,"POU2F3"
"POU4F1",1,"POU4F1"
"POU5F1",1,"POU5F1"
"POU6F1",1,"POU6F1"
"PPA1",1,"PPA1"
"PPAP2B",1,"PPAP2B"
"PPAPDC3",1,"PPAPDC3"
"PPDPF",1,"PPDPF"
"PPIB",1,"PPIB"
"PPIE",1,"PPIE"
"PPIH",1,"PPIH"
"PPIL3",1,"PPIL3"
"PPM1D",1,"PPM1D"
"PPM1F",1,"PPM1F"
"PPP1R11",1,"PPP1R11"
"PPP1R17",1,"PPP1R17"
"PPP1R1A",1,"PPP1R1A"
"PPP1R1C",1,"PPP1R1C"
"PPP1R3B",1,"PPP1R3B"
"PPP1R42",1,"PPP1R42"
"PPP1R8",1,"PPP1R8"
"PPP1R9A",1,"PPP1R9A"
"PPP1R9B",1,"PPP1R9B"
"PPP2R1A",1,"PPP2R1A"
"PPP2R3C",1,"PPP2R3C"
"PPP2R4",1,"PPP2R4"
"PPP2R5A",1,"PPP2R5A"
"PPP2R5C",1,"PPP2R5C"
"PPP2R5E",1,"PPP2R5E"
"PPP3CC",1,"PPP3CC"
"PPP4C",1,"PPP4C"
"PPP4R1",1,"PPP4R1"
"PPP4R2",1,"PPP4R2"
"PPP5C",1,"PPP5C"
"PPP6C",1,"PPP6C"
"PPT1",1,"PPT1"
"PQLC1",1,"PQLC1"
"PQLC2",1,"PQLC2"
"PQLC2L",1,"PQLC2L"
"PQLC3",1,"PQLC3"
"PRAC1",1,"PRAC1"
"PRAM1",1,"PRAM1"
"PRAME",1,"PRAME"
"PRAMEF7",1,"PRAMEF7"
"PRB1",1,"PRB1"
"PRB2",1,"PRB2"
"PRCC",1,"PRCC"
"PRDM12",1,"PRDM12"
"PRDM8",1,"PRDM8"
"PRDX2",1,"PRDX2"
"PRDX6",1,"PRDX6"
"PREP",1,"PREP"
"PRKAG1",1,"PRKAG1"
"PRKAR1A",1,"PRKAR1A"
"PRKAR2A",1,"PRKAR2A"
"PRKAR2B",1,"PRKAR2B"
"PRL",1,"PRL"
"PRMT2",1,"PRMT2"
"PRMT7",1,"PRMT7"
"PRND",1,"PRND"
"PROCA1",1,"PROCA1"
"PROCR",1,"PROCR"
"PROM2",1,"PROM2"
"PROP1",1,"PROP1"
"PROSC",1,"PROSC"
"PROSER2",1,"PROSER2"
"PROX2",1,"PROX2"
"PROZ",1,"PROZ"
"PRPF18",1,"PRPF18"
"PRPF39",1,"PRPF39"
"PRPH",1,"PRPH"
"PRPH2",1,"PRPH2"
"PRR11",1,"PRR11"
"PRR14",1,"PRR14"
"PRR15",1,"PRR15"
"PRR15L",1,"PRR15L"
"PRR19",1,"PRR19"
"PRR21",1,"PRR21"
"PRR35",1,"PRR35"
"PRR5",1,"PRR5"
"PRRC1",1,"PRRC1"
"PRRG2",1,"PRRG2"
"PRRG4",1,"PRRG4"
"PRRT2",1,"PRRT2"
"PRRT3",1,"PRRT3"
"PRSS33",1,"PRSS33"
"PRSS54",1,"PRSS54"
"PRSS8",1,"PRSS8"
"PRUNE",1,"PRUNE"
"PRX",1,"PRX"
"PSAT1",1,"PSAT1"
"PSENEN",1,"PSENEN"
"PSMA6",1,"PSMA6"
"PSMA7",1,"PSMA7"
"PSMB10",1,"PSMB10"
"PSMB2",1,"PSMB2"
"PSMB3",1,"PSMB3"
"PSMB5",1,"PSMB5"
"PSMC2",1,"PSMC2"
"PSMC3IP",1,"PSMC3IP"
"PSMC5",1,"PSMC5"
"PSMD10",1,"PSMD10"
"PSMD13",1,"PSMD13"
"PSMD3",1,"PSMD3"
"PSMD4",1,"PSMD4"
"PSMD8",1,"PSMD8"
"PSME2",1,"PSME2"
"PSMF1",1,"PSMF1"
"PSMG1",1,"PSMG1"
"PTAR1",1,"PTAR1"
"PTBP3",1,"PTBP3"
"PTF1A",1,"PTF1A"
"PTGDR2",1,"PTGDR2"
"PTGDS",1,"PTGDS"
"PTGES3L-AARSD1",1,"PTGES3L-AARSD1"
"PTGIR",1,"PTGIR"
"PTHLH",1,"PTHLH"
"PTMS",1,"PTMS"
"PTP4A3",1,"PTP4A3"
"PTPN1",1,"PTPN1"
"PTPN11",1,"PTPN11"
"PTPN18",1,"PTPN18"
"PTPN21",1,"PTPN21"
"PTPN22",1,"PTPN22"
"PTPN7",1,"PTPN7"
"PTPRE",1,"PTPRE"
"PTRF",1,"PTRF"
"PTS",1,"PTS"
"PTTG1",1,"PTTG1"
"PURA",1,"PURA"
"PUS1",1,"PUS1"
"PUS10",1,"PUS10"
"PUSL1",1,"PUSL1"
"PVRIG",1,"PVRIG"
"PWWP2A",1,"PWWP2A"
"PXMP4",1,"PXMP4"
"PXYLP1",1,"PXYLP1"
"PYCR1",1,"PYCR1"
"PYCR2",1,"PYCR2"
"PYCRL",1,"PYCRL"
"PYGB",1,"PYGB"
"PYROXD2",1,"PYROXD2"
"QKI",1,"QKI"
"QPCT",1,"QPCT"
"QPCTL",1,"QPCTL"
"QPRT",1,"QPRT"
"QRFPR",1,"QRFPR"
"QRICH1",1,"QRICH1"
"QRSL1",1,"QRSL1"
"RAB10",1,"RAB10"
"RAB18",1,"RAB18"
"RAB20",1,"RAB20"
"RAB21",1,"RAB21"
"RAB26",1,"RAB26"
"RAB2B",1,"RAB2B"
"RAB33B",1,"RAB33B"
"RAB35",1,"RAB35"
"RAB38",1,"RAB38"
"RAB3C",1,"RAB3C"
"RAB40A",1,"RAB40A"
"RAB42",1,"RAB42"
"RAB5C",1,"RAB5C"
"RAB8A",1,"RAB8A"
"RABAC1",1,"RABAC1"
"RABEP1",1,"RABEP1"
"RABIF",1,"RABIF"
"RAD23B",1,"RAD23B"
"RAD51",1,"RAD51"
"RAD52",1,"RAD52"
"RAD9A",1,"RAD9A"
"RAE1",1,"RAE1"
"RALB",1,"RALB"
"RALGPS2",1,"RALGPS2"
"RALY",1,"RALY"
"RAMP2",1,"RAMP2"
"RANBP1",1,"RANBP1"
"RANBP10",1,"RANBP10"
"RAP1B",1,"RAP1B"
"RAP1GAP2",1,"RAP1GAP2"
"RAP2A",1,"RAP2A"
"RAPSN",1,"RAPSN"
"RASA4",1,"RASA4"
"RASD2",1,"RASD2"
"RASL10A",1,"RASL10A"
"RASL10B",1,"RASL10B"
"RASL11A",1,"RASL11A"
"RASL11B",1,"RASL11B"
"RASL12",1,"RASL12"
"RASSF1",1,"RASSF1"
"RASSF6",1,"RASSF6"
"RASSF9",1,"RASSF9"
"RAX",1,"RAX"
"RBBP5",1,"RBBP5"
"RBBP8NL",1,"RBBP8NL"
"RBCK1",1,"RBCK1"
"RBM11",1,"RBM11"
"RBM15B",1,"RBM15B"
"RBM18",1,"RBM18"
"RBM22",1,"RBM22"
"RBM42",1,"RBM42"
"RBM43",1,"RBM43"
"RBM7",1,"RBM7"
"RBMS2",1,"RBMS2"
"RBMXL1",1,"RBMXL1"
"RBPJL",1,"RBPJL"
"RCAN1",1,"RCAN1"
"RCAN2",1,"RCAN2"
"RCC2",1,"RCC2"
"RCHY1",1,"RCHY1"
"RCN3",1,"RCN3"
"RCSD1",1,"RCSD1"
"RDH10",1,"RDH10"
"RDH12",1,"RDH12"
"RDH14",1,"RDH14"
"RDH16",1,"RDH16"
"RDM1",1,"RDM1"
"RDX",1,"RDX"
"REC114",1,"REC114"
"REEP4",1,"REEP4"
"REL",1,"REL"
"RELB",1,"RELB"
"RELL2",1,"RELL2"
"REM2",1,"REM2"
"REPS1",1,"REPS1"
"REPS2",1,"REPS2"
"RETSAT",1,"RETSAT"
"REXO1",1,"REXO1"
"REXO4",1,"REXO4"
"RFC3",1,"RFC3"
"RFESD",1,"RFESD"
"RFPL4B",1,"RFPL4B"
"RFT1",1,"RFT1"
"RFX2",1,"RFX2"
"RGP1",1,"RGP1"
"RGPD1",1,"RGPD1"
"RGR",1,"RGR"
"RGS10",1,"RGS10"
"RGS14",1,"RGS14"
"RGS16",1,"RGS16"
"RGS17",1,"RGS17"
"RGS19",1,"RGS19"
"RGS21",1,"RGS21"
"RHBDD1",1,"RHBDD1"
"RHBDD3",1,"RHBDD3"
"RHBDL2",1,"RHBDL2"
"RHBG",1,"RHBG"
"RHCE",1,"RHCE"
"RHNO1",1,"RHNO1"
"RHOB",1,"RHOB"
"RHOBTB3",1,"RHOBTB3"
"RHOQ",1,"RHOQ"
"RHOT2",1,"RHOT2"
"RHOXF2",1,"RHOXF2"
"RHPN2",1,"RHPN2"
"RIC8A",1,"RIC8A"
"RIC8B",1,"RIC8B"
"RILPL2",1,"RILPL2"
"RIMBP3",1,"RIMBP3"
"RIMKLB",1,"RIMKLB"
"RINL",1,"RINL"
"RIOK2",1,"RIOK2"
"RLBP1",1,"RLBP1"
"RLN2",1,"RLN2"
"RMDN1",1,"RMDN1"
"RMND1",1,"RMND1"
"RNASEH2A",1,"RNASEH2A"
"RNASET2",1,"RNASET2"
"RNF113B",1,"RNF113B"
"RNF121",1,"RNF121"
"RNF123",1,"RNF123"
"RNF125",1,"RNF125"
"RNF13",1,"RNF13"
"RNF138",1,"RNF138"
"RNF141",1,"RNF141"
"RNF148",1,"RNF148"
"RNF149",1,"RNF149"
"RNF157",1,"RNF157"
"RNF175",1,"RNF175"
"RNF182",1,"RNF182"
"RNF183",1,"RNF183"
"RNF19A",1,"RNF19A"
"RNF214",1,"RNF214"
"RNF217",1,"RNF217"
"RNF24",1,"RNF24"
"RNF25",1,"RNF25"
"RNF26",1,"RNF26"
"RNF34",1,"RNF34"
"RNF39",1,"RNF39"
"RNF44",1,"RNF44"
"RNLS",1,"RNLS"
"RNPC3",1,"RNPC3"
"ROM1",1,"ROM1"
"ROPN1",1,"ROPN1"
"RP11-20I23.1",1,"RP11-20I23.1"
"RP11-483E23.2",1,"RP11-483E23.2"
"RP11-707M1.1",1,"RP11-707M1.1"
"RP4-559A3.7",1,"RP4-559A3.7"
"RPA2",1,"RPA2"
"RPA3",1,"RPA3"
"RPAP3",1,"RPAP3"
"RPE",1,"RPE"
"RPEL1",1,"RPEL1"
"RPF2",1,"RPF2"
"RPL10",1,"RPL10"
"RPL10A",1,"RPL10A"
"RPL11",1,"RPL11"
"RPL13A",1,"RPL13A"
"RPL14",1,"RPL14"
"RPL22",1,"RPL22"
"RPL22L1",1,"RPL22L1"
"RPL26L1",1,"RPL26L1"
"RPL28",1,"RPL28"
"RPL31",1,"RPL31"
"RPL36A",1,"RPL36A"
"RPL7",1,"RPL7"
"RPL7L1",1,"RPL7L1"
"RPN1",1,"RPN1"
"RPP25",1,"RPP25"
"RPP30",1,"RPP30"
"RPP40",1,"RPP40"
"RPRD1B",1,"RPRD1B"
"RPS11",1,"RPS11"
"RPS13",1,"RPS13"
"RPS15A",1,"RPS15A"
"RPS16",1,"RPS16"
"RPS19",1,"RPS19"
"RPS25",1,"RPS25"
"RPS26",1,"RPS26"
"RPS28",1,"RPS28"
"RPS3A",1,"RPS3A"
"RPS4X",1,"RPS4X"
"RPS6",1,"RPS6"
"RPS6KB1",1,"RPS6KB1"
"RPS6KB2",1,"RPS6KB2"
"RPS7",1,"RPS7"
"RPSA",1,"RPSA"
"RPSAP58",1,"RPSAP58"
"RPUSD2",1,"RPUSD2"
"RPUSD3",1,"RPUSD3"
"RRAS2",1,"RRAS2"
"RRH",1,"RRH"
"RS1",1,"RS1"
"RSAD1",1,"RSAD1"
"RSL1D1",1,"RSL1D1"
"RSPH1",1,"RSPH1"
"RSPO3",1,"RSPO3"
"RSRC2",1,"RSRC2"
"RSRP1",1,"RSRP1"
"RSU1",1,"RSU1"
"RTBDN",1,"RTBDN"
"RTF1",1,"RTF1"
"RTFDC1",1,"RTFDC1"
"RTKN",1,"RTKN"
"RTKN2",1,"RTKN2"
"RTN4",1,"RTN4"
"RTN4R",1,"RTN4R"
"RTN4RL2",1,"RTN4RL2"
"RTP4",1,"RTP4"
"RUNX1",1,"RUNX1"
"RUSC1",1,"RUSC1"
"RWDD2B",1,"RWDD2B"
"RYK",1,"RYK"
"S100A1",1,"S100A1"
"S100A13",1,"S100A13"
"S100A16",1,"S100A16"
"S100A5",1,"S100A5"
"S100A9",1,"S100A9"
"S100B",1,"S100B"
"S100PBP",1,"S100PBP"
"S100Z",1,"S100Z"
"S1PR4",1,"S1PR4"
"S1PR5",1,"S1PR5"
"SAA2",1,"SAA2"
"SAA2-SAA4",1,"SAA2-SAA4"
"SAC3D1",1,"SAC3D1"
"SACM1L",1,"SACM1L"
"SAE1",1,"SAE1"
"SALL2",1,"SALL2"
"SAMD1",1,"SAMD1"
"SAMD13",1,"SAMD13"
"SAMD8",1,"SAMD8"
"SAMM50",1,"SAMM50"
"SAP18",1,"SAP18"
"SAP30L",1,"SAP30L"
"SAR1B",1,"SAR1B"
"SART1",1,"SART1"
"SAYSD1",1,"SAYSD1"
"SBDS",1,"SBDS"
"SBK2",1,"SBK2"
"SBSPON",1,"SBSPON"
"SCAF4",1,"SCAF4"
"SCAMP4",1,"SCAMP4"
"SCARA3",1,"SCARA3"
"SCARB2",1,"SCARB2"
"SCD",1,"SCD"
"SCGB2A2",1,"SCGB2A2"
"SCGB2B2",1,"SCGB2B2"
"SCGN",1,"SCGN"
"SCIMP",1,"SCIMP"
"SCLY",1,"SCLY"
"SCMH1",1,"SCMH1"
"SCML1",1,"SCML1"
"SCN3B",1,"SCN3B"
"SCNN1A",1,"SCNN1A"
"SCO2",1,"SCO2"
"SCP2",1,"SCP2"
"SCRN2",1,"SCRN2"
"SCRT1",1,"SCRT1"
"SCUBE2",1,"SCUBE2"
"SDC3",1,"SDC3"
"SDC4",1,"SDC4"
"SDHB",1,"SDHB"
"SDHD",1,"SDHD"
"SDR16C5",1,"SDR16C5"
"SDR39U1",1,"SDR39U1"
"SDR9C7",1,"SDR9C7"
"SDS",1,"SDS"
"SEC11C",1,"SEC11C"
"SEC14L1",1,"SEC14L1"
"SEC14L4",1,"SEC14L4"
"SEC22A",1,"SEC22A"
"SEC61G",1,"SEC61G"
"SEC62",1,"SEC62"
"SEH1L",1,"SEH1L"
"SELK",1,"SELK"
"SELPLG",1,"SELPLG"
"SEMA3B",1,"SEMA3B"
"SEMA4B",1,"SEMA4B"
"SENP3",1,"SENP3"
"SEP15",1,"SEP15"
"SEPHS2",1,"SEPHS2"
"SEPN1",1,"SEPN1"
"SEPSECS",1,"SEPSECS"
"SEPT1",1,"SEPT1"
"SEPT10",1,"SEPT10"
"SEPT11",1,"SEPT11"
"SEPT2",1,"SEPT2"
"SEPT8",1,"SEPT8"
"SEPT9",1,"SEPT9"
"SERAC1",1,"SERAC1"
"SERF2",1,"SERF2"
"SERHL2",1,"SERHL2"
"SERINC2",1,"SERINC2"
"SERINC3",1,"SERINC3"
"SERPINB6",1,"SERPINB6"
"SERPINF2",1,"SERPINF2"
"SERPINH1",1,"SERPINH1"
"SERTM1",1,"SERTM1"
"SESN1",1,"SESN1"
"SESN2",1,"SESN2"
"SET",1,"SET"
"SETD7",1,"SETD7"
"SETD9",1,"SETD9"
"SF3A3",1,"SF3A3"
"SF3B5",1,"SF3B5"
"SFR1",1,"SFR1"
"SFT2D2",1,"SFT2D2"
"SFTA3",1,"SFTA3"
"SFTPC",1,"SFTPC"
"SFXN2",1,"SFXN2"
"SFXN3",1,"SFXN3"
"SFXN4",1,"SFXN4"
"SFXN5",1,"SFXN5"
"SGCE",1,"SGCE"
"SGK3",1,"SGK3"
"SGMS2",1,"SGMS2"
"SGOL1",1,"SGOL1"
"SGPP1",1,"SGPP1"
"SGSH",1,"SGSH"
"SGSM1",1,"SGSM1"
"SGTA",1,"SGTA"
"SGTB",1,"SGTB"
"SH2D1A",1,"SH2D1A"
"SH2D6",1,"SH2D6"
"SH2D7",1,"SH2D7"
"SH3BGRL2",1,"SH3BGRL2"
"SH3BGRL3",1,"SH3BGRL3"
"SH3BP5L",1,"SH3BP5L"
"SH3GLB2",1,"SH3GLB2"
"SH3YL1",1,"SH3YL1"
"SHARPIN",1,"SHARPIN"
"SHB",1,"SHB"
"SHC4",1,"SHC4"
"SHFM1",1,"SHFM1"
"SHH",1,"SHH"
"SHROOM1",1,"SHROOM1"
"SIAE",1,"SIAE"
"SIGLEC15",1,"SIGLEC15"
"SIGLECL1",1,"SIGLECL1"
"SIK3",1,"SIK3"
"SIKE1",1,"SIKE1"
"SIMC1",1,"SIMC1"
"SIRT1",1,"SIRT1"
"SKA1",1,"SKA1"
"SKAP2",1,"SKAP2"
"SLA2",1,"SLA2"
"SLAIN2",1,"SLAIN2"
"SLC10A3",1,"SLC10A3"
"SLC10A4",1,"SLC10A4"
"SLC11A2",1,"SLC11A2"
"SLC12A4",1,"SLC12A4"
"SLC13A4",1,"SLC13A4"
"SLC15A2",1,"SLC15A2"
"SLC16A13",1,"SLC16A13"
"SLC16A3",1,"SLC16A3"
"SLC16A4",1,"SLC16A4"
"SLC17A5",1,"SLC17A5"
"SLC18B1",1,"SLC18B1"
"SLC19A2",1,"SLC19A2"
"SLC20A1",1,"SLC20A1"
"SLC22A1",1,"SLC22A1"
"SLC22A13",1,"SLC22A13"
"SLC22A24",1,"SLC22A24"
"SLC22A5",1,"SLC22A5"
"SLC23A1",1,"SLC23A1"
"SLC25A15",1,"SLC25A15"
"SLC25A18",1,"SLC25A18"
"SLC25A19",1,"SLC25A19"
"SLC25A21",1,"SLC25A21"
"SLC25A24",1,"SLC25A24"
"SLC25A26",1,"SLC25A26"
"SLC25A30",1,"SLC25A30"
"SLC25A33",1,"SLC25A33"
"SLC25A34",1,"SLC25A34"
"SLC25A39",1,"SLC25A39"
"SLC25A42",1,"SLC25A42"
"SLC25A52",1,"SLC25A52"
"SLC27A1",1,"SLC27A1"
"SLC27A4",1,"SLC27A4"
"SLC29A4",1,"SLC29A4"
"SLC2A11",1,"SLC2A11"
"SLC2A4RG",1,"SLC2A4RG"
"SLC2A6",1,"SLC2A6"
"SLC2A7",1,"SLC2A7"
"SLC2A8",1,"SLC2A8"
"SLC30A1",1,"SLC30A1"
"SLC30A2",1,"SLC30A2"
"SLC30A3",1,"SLC30A3"
"SLC30A4",1,"SLC30A4"
"SLC30A9",1,"SLC30A9"
"SLC33A1",1,"SLC33A1"
"SLC35A2",1,"SLC35A2"
"SLC35A4",1,"SLC35A4"
"SLC35B3",1,"SLC35B3"
"SLC35B4",1,"SLC35B4"
"SLC35C2",1,"SLC35C2"
"SLC35E2",1,"SLC35E2"
"SLC35E2B",1,"SLC35E2B"
"SLC35E4",1,"SLC35E4"
"SLC35G2",1,"SLC35G2"
"SLC37A2",1,"SLC37A2"
"SLC37A4",1,"SLC37A4"
"SLC38A2",1,"SLC38A2"
"SLC38A3",1,"SLC38A3"
"SLC38A6",1,"SLC38A6"
"SLC38A9",1,"SLC38A9"
"SLC39A13",1,"SLC39A13"
"SLC39A2",1,"SLC39A2"
"SLC39A4",1,"SLC39A4"
"SLC39A5",1,"SLC39A5"
"SLC39A9",1,"SLC39A9"
