,logFC,AveExpr,t,P.Value,adj.P.Val,B
NCAPH,-0.333259464450405,2.83597902648657,-14.150309329292,4.1832210681858e-32,6.37765283040326e-30,62.3079749229332
NCAPG,-0.4278777402884,2.85555132327475,-14.1477149950076,4.26174465582225e-32,6.43720746022485e-30,62.2895502257107
CDCA3,-0.313949109252508,3.03560458964963,-14.1304564011966,4.82299078690758e-32,7.21811456025903e-30,62.1669814169719
PLK4,-0.26576665733885,2.4947925298132,-14.1147232609354,5.39879008579322e-32,8.00640569723135e-30,62.0552462815425
C5orf34,-0.332239125962164,2.74184034819829,-14.0714816849678,7.36062233184871e-32,1.05724310173868e-29,61.7481505257428
RACGAP1,-0.289181898073308,3.23986912294313,-14.0598583507639,8.00017781594757e-32,1.13484261488307e-29,61.6656038321211
CCNB1,-0.343913363079891,3.06543685246476,-13.9389282284149,1.90352789567026e-31,2.65403850957854e-29,60.8068145518413
BUB1B,-0.3726403239821,3.07689547732026,-13.9102643996917,2.33768173083087e-31,3.23174593856305e-29,60.6032706184898
NUF2,-0.51629828228215,2.93191705701129,-13.8664147758588,3.20093605676094e-31,4.38797225999506e-29,60.2919048967925
AURKB,-0.277138702142499,2.61531066951012,-13.8123598982149,4.71545508902405e-31,6.41026823893745e-29,59.9081010741462
LMNB1,-0.290255621227382,3.03157255783522,-13.7544713700139,7.13980239878903e-31,9.54685217470864e-29,59.4971168317687
PHGDH,-0.337043888618311,3.00979285680148,-13.7485599018498,7.44874292775031e-31,9.87897100653584e-29,59.4551504768899
TPX2,-0.406167945882276,3.13996498935636,-13.7374416574052,8.06645952394507e-31,1.05270523371293e-28,59.3762218662597
SPAG5,-0.323015768264738,3.02923205879068,-13.7355476976103,8.17667779889125e-31,1.05862019788344e-28,59.3627767968494
GINS1,-0.405086902715509,3.05663573732925,-13.6451647450886,1.56248806537074e-30,1.99131779768694e-28,58.7212234052667
AUNIP,-0.267581970206979,2.64497653628916,-13.6252374203421,1.80225139880675e-30,2.2615482360565e-28,58.5797954512041
NCAPG2,-0.280286173470968,2.94609750803391,-13.6164011875801,1.92002098088958e-30,2.3728259288827e-28,58.5170855148067
ORC6,-0.26587666727644,3.04120552477732,-13.5951835805298,2.23518712691691e-30,2.72109011950713e-28,58.3665124862289
KIF23,-0.379173808507364,2.52043487327893,-13.5647896841658,2.77883262550682e-30,3.30883916933524e-28,58.1508352911128
BIRC5,-0.398802953236862,2.93211950654592,-13.5614897856033,2.84529383283086e-30,3.33922865431438e-28,58.127420182771
UBE2S,-0.287573179810275,3.33486299800345,-13.5412340231776,3.28952277231067e-30,3.83299892747885e-28,57.983696584625
TTK,-0.514750491462789,2.91487268835488,-13.4945836210435,4.59435259216387e-30,5.31543786070704e-28,57.6527276729237
MYBL2,-0.277751771771393,3.00528003811147,-13.4685203377495,5.53702212161132e-30,6.31646446642276e-28,57.4678407129395
ESPL1,-0.315888672161455,2.96695240477384,-13.3609477810525,1.19598434898828e-29,1.30067284566972e-27,56.7049400564877
RAD54B,-0.287676169062353,2.83488359377964,-13.3486442319022,1.30607753773381e-29,1.4060522155867e-27,56.6177051822111
FOXM1,-0.384687963910413,2.96249105000976,-13.3140932718484,1.67245359685536e-29,1.72675541300642e-27,56.3727565651242
CCNA2,-0.381465144294352,2.93742678557208,-13.2950324930483,1.91685160401969e-29,1.96664152304234e-27,56.2376418521882
MKI67,-0.317595328069235,2.85241230596648,-13.2411751122199,2.81793623800502e-29,2.83759221299851e-27,55.8559333094076
TOP2A,-0.38402888086977,2.89190331442274,-13.1994315943859,3.79843520097703e-29,3.73276345985171e-27,55.5601510979456
KIF11,-0.411147290701307,2.87038698193838,-13.1806588592919,4.34422389184948e-29,4.24355235615213e-27,55.4271540918257
ASF1B,-0.271170243323704,3.02682025153764,-13.1117923458412,7.10820574830039e-29,6.7810620100599e-27,54.9393810114309
PBK,-0.449131549010913,3.05802322578418,-13.0398957378279,1.18830890497995e-28,1.10770760953931e-26,54.430355038174
KIF15,-0.401136947910337,2.77919742571751,-13.0005395594846,1.57417057615448e-28,1.44266542746113e-26,54.151810648451
ZWINT,-0.278194714958524,3.29169315166982,-12.9355705406443,2.50371382613408e-28,2.23186249430193e-26,53.6921487064752
KNTC1,-0.291254464836203,2.87695981731802,-12.9211325480207,2.77561651190193e-28,2.46079522601392e-26,53.5900263071913
PRC1,-0.333606973690036,3.14028836779095,-12.9148546979744,2.90286494026226e-28,2.55969923083775e-26,53.5456252309973
PTTG1,-0.266604231945818,3.36598788639411,-12.9116389894523,2.97028618612704e-28,2.60506873947798e-26,53.5228823944673
MCM10,-0.34635655525953,2.66770543104015,-12.8274142573431,5.41860821778225e-28,4.57998735008714e-26,52.9273996861611
MELK,-0.396905747233259,3.13776301724841,-12.76107325045,8.69813213033905e-28,7.16629441627378e-26,52.4586273025571
MLPH,0.343286848680155,3.32286687373381,12.6696009377006,1.66974856126478e-27,1.32871259902012e-25,51.8126914366155
DLGAP5,-0.5181537823468,2.94824568747925,-12.6686022619848,1.68167512600458e-27,1.33170710342295e-25,51.8056420268745
PLK1,-0.285619849072199,2.80394748766094,-12.665771449271,1.71594620517033e-27,1.35228166400694e-25,51.7856603413676
CDC20,-0.434666934235888,3.08099845007123,-12.6578945070358,1.81502357294613e-27,1.41667366246269e-25,51.7300624634429
MND1,-0.392083599217527,2.56106753759653,-12.6543676553873,1.86121742636299e-27,1.44581142267902e-25,51.7051701127511
CENPW,-0.326339057524742,3.19755400423824,-12.6304495605007,2.20703772247897e-27,1.67457704031625e-25,51.5363779553592
EZH2,-0.403710565666022,3.00238030777591,-12.5195031591468,4.86317565830537e-27,3.60604475063343e-25,50.7539059326204
DLX6,-0.37697236031876,2.35943895232826,-12.4850265278639,6.21541397593128e-27,4.4863738136888e-25,50.5109225579517
CENPK,-0.400742789275892,2.78383409496602,-12.4019933065629,1.12185685711422e-26,7.9224462814304e-25,49.9260729664205
KIF4A,-0.408445005787192,2.94655659120356,-12.3872869104611,1.2454871284915e-26,8.75759979615594e-25,49.8225406404374
KIF20A,-0.389446947863142,2.97092652601811,-12.3745272961176,1.36372036926902e-26,9.54779844801955e-25,49.7327268332061
POLE2,-0.279262916325908,2.93490047294842,-12.2578467165666,3.12351731096462e-26,2.08827614318713e-24,48.9120128433311
HOXD13,-0.283829183338455,2.41511999784818,-12.1673641072585,5.93509621013487e-26,3.88832226810964e-24,48.2763398067557
CDKN3,-0.356253096180107,3.07002685313363,-12.1575772075625,6.361569075648e-26,4.13451300123688e-24,48.2076253764347
UHRF1,-0.398232236665763,3.13673355009471,-12.1040913548373,9.29391115943602e-26,5.92232706030781e-24,47.8322475831313
RIPPLY3,-0.432999355036735,2.38592768318667,-11.9221701198692,3.36768707066407e-25,2.01974555822584e-23,46.5574648720812
GPR19,-0.315989507664413,2.52082572565482,-11.8842721557054,4.40189115013527e-25,2.58302339324304e-23,46.2923086495532
ZNF711,-0.424818362961452,2.65289067137898,-11.883506581525,4.42576332784121e-25,2.58772319595246e-23,46.2869537544374
CDC6,-0.412218516360975,2.76941494378104,-11.8476742723324,5.70030560403375e-25,3.26277492345974e-23,46.0363883172508
UBE2C,-0.339269637383393,3.29300365420638,-11.4347694339194,1.04246183409444e-23,5.38154427201979e-22,43.1594132285604
HMMR,-0.314233634578354,2.93661663981393,-11.3644170145799,1.70702833346948e-23,8.51582666785553e-22,42.6712933282252
DDIAS,-0.29256492981954,2.89180899729803,-11.2564356771069,3.63443674234342e-23,1.76980795754771e-21,41.9233822756857
CENPE,-0.308168438326271,2.84753970083359,-11.2553026143243,3.66334104322318e-23,1.7785738820863e-21,41.915542827751
IGSF9,-0.362396689260065,2.67743449506142,-11.1681092395691,6.73577083911587e-23,3.1780657347298e-21,41.3128123579101
