,logFC,AveExpr,t,P.Value,adj.P.Val,B
SHCBP1,-1.97835509112044,2.86601443256979,-26.7740112486271,2.55516563173717e-81,4.65661026344624e-79,174.8931353583
DDIAS,-1.82459749420451,2.09235942592613,-26.756999576355,2.92170159710766e-81,5.27529455033327e-79,174.759381392014
RFC4,-1.81320186144315,4.16841217245283,-26.6674739423239,5.91916350750338e-81,1.05893292106712e-78,174.054902734571
TRIP13,-2.48473217688352,3.77978305541056,-26.6634000232409,6.1125660906482e-81,1.083591261524e-78,174.022821632282
C17orf53,-1.972403636742,2.67456429858328,-26.6503447919893,6.77603878213075e-81,1.1903851914554e-78,173.920001231753
CDKN3,-2.36798388523088,3.53673376442165,-26.5795826389266,1.1849494554251e-80,2.06308164114191e-78,173.362329698792
MCM2,-2.18063119933641,4.87344192711393,-26.5178239178823,1.93088708736637e-80,3.33206178793311e-78,172.875113376846
ATAD2,-1.99518873557516,4.20665285310626,-26.4073180782135,4.63122183506692e-80,7.92182682314078e-78,172.002168516418
ERCC6L,-1.780323693756,1.93658029013023,-26.209379371408,2.22765650628101e-79,3.77733059760693e-77,170.434832442985
LMNB1,-2.01713132158735,5.13626739530359,-26.1439578227448,3.74766352439818e-79,6.29995161429004e-77,169.91576158769
ESCO2,-1.4636171977703,1.49753799403672,-26.1426085878765,3.78810576541699e-79,6.31350960902832e-77,169.905050976589
TRAIP,-1.38315686161682,2.45537038724736,-26.0581026422141,7.42289029298786e-79,1.22666407384121e-76,169.233780757786
SPC24,-1.97074420002038,3.02665374724997,-26.0518616286649,7.80124676639695e-79,1.27835556256085e-76,169.184171316513
DBF4,-1.48811290813144,3.26049859512338,-25.9090377078538,2.43680845527002e-78,3.95981373981379e-76,168.047591671177
RFC5,-1.38532491351863,4.14581955198922,-25.9039396386182,2.53803534520067e-78,4.09022225053e-76,168.006976405723
DIAPH3,-1.74692916254827,1.92337501581665,-25.8899294356872,2.83845139586052e-78,4.53686903436722e-76,167.895343956633
ASF1B,-2.09226425438346,4.37515135608015,-25.8223216392383,4.87159216952628e-78,7.72325587851728e-76,167.356318534364
OIP5,-1.98865064315804,2.66154381773333,-25.6698884082903,1.649906388101e-77,2.59461085225561e-75,166.138990014156
CDT1,-2.24282820930032,3.66041215807898,-25.5597777360949,3.98931260776463e-77,6.22332766811283e-75,165.257927428318
